Rank,Year,Position,Name,Age,Wins,Losses,Winning_Percentage,Earned_Run_Average,Games_Played,Games_Started,Games_Finished,Complete_Games,Shutouts,Saves,Innings_Pitched,Hits_Allowed,Runs_Allowed,Earned_Runs,Home_Runs_Allowed,Walks_Allowed,Intentional_Walks_Allowed,Strikeouts,Hit_By_Pitch,Balks,Wild_Pitches,Batters_Faced,Adjusted_Earned_Run_Average,Fielding_Independent_Pitching,Walks_Hits_Per_Inning_Pitched,Hits_Per_Nine_Innings,Home_Runs_Per_Nine_Innings,Walks_Per_Nine_Innings,Strikeouts_Per_Nine_Innings,Strikeout_Walk_Ratio,Dominant_Hand,Switch_Hitter
9,1974,RP,Charlie Williams,26,1,3,0.25,2.78,39,7,7,0,0,0,100.1,93,38,31,6,31,6,48,2,0,4,414,138,3.39,1.236,8.3,0.5,2.8,4.3,1.55,Right,No
10,1974,RP,Jim Willoughby,25,1,4,0.2,4.65,18,4,5,0,0,0,40.2,51,27,21,7,9,1,12,0,0,0,181,83,4.89,1.475,11.3,1.5,2.0,2.7,1.33,Right,No
11,1974,RP,John Morris,32,1,1,0.5,3.05,17,0,7,0,0,1,20.2,17,7,7,1,4,1,9,0,1,2,83,127,2.92,1.016,7.4,0.4,1.7,3.9,2.25,Left,No
12,1974,,John Montefusco,24,3,2,0.6,4.81,7,5,1,1,1,0,39.1,41,22,21,3,19,0,34,0,0,0,179,80,3.29,1.525,9.4,0.7,4.3,7.8,1.79,Right,No
13,1974,,Gary Lavelle,25,0,3,0.0,2.16,10,0,4,0,0,0,16.2,14,7,4,1,10,2,12,0,0,0,75,181,3.72,1.44,7.6,0.5,5.4,6.5,1.2,Left,No
14,1974,,Steve Barber,36,0,1,0.0,5.27,13,0,6,0,0,1,13.2,13,12,8,0,12,1,13,0,0,2,66,74,3.31,1.829,8.6,0.0,7.9,8.6,1.08,Left,No
15,1974,,Butch Metzger,22,1,0,1.0,3.55,10,0,4,0,0,0,12.2,11,5,5,0,12,7,5,0,0,0,60,111,4.63,1.816,7.8,0.0,8.5,3.6,0.42,Right,No
16,1974,,Don McMahon,44,0,0,0.0,3.09,9,0,6,0,0,0,11.2,13,5,4,2,2,0,5,0,0,1,50,128,4.46,1.286,10.0,1.5,1.5,3.9,2.5,Right,No
17,1974,,Don Rose,27,0,0,0.0,9.0,2,0,1,0,0,0,1.0,4,1,1,0,1,0,0,0,0,0,7,59,5.58,5.0,36.0,0.0,9.0,0.0,0.0,Right,No
1,1973,SP,Ron Bryant,25,24,12,0.667,3.53,41,39,1,8,0,0,270.0,240,125,106,23,115,12,143,9,1,8,1165,109,3.99,1.315,8.0,0.8,3.8,4.8,1.24,Left,No
2,1973,SP,Jim Barr,25,11,17,0.393,3.81,41,33,4,8,3,2,231.1,240,105,98,24,49,7,88,5,0,3,966,101,3.85,1.249,9.3,0.9,1.9,3.4,1.8,Right,No
3,1973,SP,Tom Bradley,26,13,12,0.52,3.9,35,34,0,6,1,0,224.0,212,109,97,26,69,10,136,3,0,7,945,99,3.82,1.254,8.5,1.0,2.8,5.5,1.97,Right,No
4,1973,SP,Juan Marichal,35,11,15,0.423,3.82,34,32,1,9,2,0,207.1,231,104,88,22,37,7,87,1,3,2,888,101,3.66,1.293,10.0,1.0,1.6,3.8,2.35,Right,No
5,1973,CL,Elias Sosa,23,10,4,0.714,3.28,71,1,46,0,0,18,107.0,95,42,39,7,41,8,70,4,1,8,449,118,3.37,1.271,8.0,0.6,3.4,5.9,1.71,Right,No
6,1973,RP,Jim Willoughby,24,4,5,0.444,4.68,39,12,10,1,1,1,123.0,138,74,64,21,37,4,60,3,0,3,518,83,4.79,1.423,10.1,1.5,2.7,4.4,1.62,Right,No
7,1973,RP,Randy Moffitt,24,4,4,0.5,2.42,60,0,34,0,0,14,100.1,86,30,27,9,31,4,65,1,0,5,419,160,3.39,1.166,7.7,0.8,2.8,5.8,2.1,Right,No
8,1973,RP,Don Carrithers,23,1,2,0.333,4.81,25,3,3,0,0,0,58.0,64,40,31,2,35,2,36,4,0,6,273,81,3.79,1.707,9.9,0.3,5.4,5.6,1.03,Right,No
9,1973,RP,Don McMahon,43,4,0,1.0,1.48,22,0,16,0,0,6,30.1,21,5,5,1,7,3,20,0,0,3,119,263,2.37,0.923,6.2,0.3,2.1,5.9,2.86,Right,No
10,1973,,Sam McDowell,30,1,2,0.333,4.5,18,3,6,0,0,3,40.0,45,23,20,4,29,0,35,0,0,5,190,86,4.29,1.85,10.1,0.9,6.5,7.9,1.21,Left,No
11,1973,,John D'Acquisto,21,1,1,0.5,3.58,7,3,1,1,0,0,27.2,23,14,11,4,19,0,29,0,0,3,125,109,4.41,1.518,7.5,1.3,6.2,9.4,1.53,Right,No
12,1973,,Charlie Williams,25,3,0,1.0,6.65,12,2,2,0,0,0,23.0,32,19,17,2,7,2,11,0,0,1,109,59,3.65,1.696,12.5,0.8,2.7,4.3,1.57,Right,No
13,1973,,John Morris,31,1,0,1.0,8.53,7,0,3,0,0,0,6.1,12,8,6,0,3,0,3,0,0,2,32,48,3.04,2.368,17.1,0.0,4.3,4.3,1.0,Left,No
14,1973,,Dave Kingman,24,0,0,0.0,9.0,2,0,2,0,0,0,4.0,3,4,4,0,6,0,4,0,0,2,21,47,5.07,2.25,6.8,0.0,13.5,9.0,0.67,Right,No
1,1972,SP,Ron Bryant,24,14,7,0.667,2.9,35,28,1,11,4,0,214.0,176,81,69,20,77,5,107,2,2,8,879,121,3.72,1.182,7.4,0.8,3.2,4.5,1.39,Left,No
2,1972,SP,Juan Marichal,34,6,16,0.273,3.71,25,24,1,6,0,0,165.0,176,82,68,15,46,7,72,3,0,2,699,94,3.6,1.345,9.6,0.8,2.5,3.9,1.57,Right,No
3,1972,SP,Sam McDowell,29,10,8,0.556,4.33,28,25,1,4,0,0,164.1,155,86,79,12,86,6,122,6,0,11,718,81,3.54,1.467,8.5,0.7,4.7,6.7,1.42,Left,No
4,1972,SP,Steve Stone,24,6,8,0.429,2.98,27,16,2,4,1,0,123.2,97,48,41,11,49,2,85,2,1,2,506,117,3.42,1.181,7.1,0.8,3.6,6.2,1.73,Right,No
5,1972,SP,Frank Reberger,28,3,4,0.429,3.99,20,11,1,2,0,0,99.1,97,49,44,10,37,2,52,5,1,4,427,88,3.93,1.349,8.8,0.9,3.4,4.7,1.41,Right,No
6,1972,SP,Don Carrithers,22,4,8,0.333,5.8,25,14,3,2,0,1,90.0,108,66,58,10,42,4,42,5,0,8,417,60,4.48,1.667,10.8,1.0,4.2,4.2,1.0,Right,No
7,1972,CL,Jerry Johnson,28,8,6,0.571,4.42,48,0,32,0,0,8,73.1,73,40,36,4,40,10,57,0,0,5,332,79,3.19,1.541,9.0,0.5,4.9,7.0,1.43,Right,No
8,1972,RP,Jim Barr,24,8,10,0.444,2.87,44,18,13,8,2,2,179.0,166,66,57,16,41,8,86,3,1,1,732,122,3.34,1.156,8.3,0.8,2.1,4.3,2.1,Right,No
9,1972,RP,Randy Moffitt,23,1,5,0.167,3.69,40,0,20,0,0,4,70.2,72,31,29,5,30,6,37,2,0,7,307,95,3.63,1.443,9.2,0.6,3.8,4.7,1.23,Right,No
10,1972,RP,Don McMahon,42,3,3,0.5,3.71,44,0,27,0,0,5,63.0,46,26,26,8,21,3,45,1,0,2,253,95,3.67,1.063,6.6,1.1,3.0,6.4,2.14,Right,No
11,1972,RP,Elias Sosa,22,0,1,0.0,2.3,8,0,4,0,0,3,15.2,10,4,4,0,12,0,10,0,0,0,67,156,3.42,1.404,5.7,0.0,6.9,5.7,0.83,Right,No
12,1972,,Jim Willoughby,23,6,4,0.6,2.36,11,11,0,7,0,0,87.2,72,25,23,8,14,4,40,2,0,2,349,149,3.22,0.981,7.4,0.8,1.4,4.1,2.86,Right,No
13,1972,,John Cumberland,25,0,4,0.0,8.64,9,6,1,0,0,0,25.0,38,29,24,6,7,0,8,0,1,1,124,41,5.72,1.8,13.7,2.2,2.5,2.9,1.14,Left,No
14,1972,,Charlie Williams,24,0,2,0.0,8.68,3,2,0,0,0,0,9.1,14,10,9,3,3,0,3,0,0,0,46,42,6.9,1.821,13.5,2.9,2.9,2.9,1.0,Right,No
15,1972,,John Morris,30,0,0,0.0,4.26,7,0,5,0,0,0,6.1,9,6,3,2,2,0,5,0,0,0,31,88,5.87,1.737,12.8,2.8,2.8,7.1,2.5,Left,No
1,1971,SP,Gaylord Perry,32,16,12,0.571,2.76,37,37,0,14,2,0,280.0,255,116,86,20,67,4,158,5,0,8,1149,124,3.02,1.15,8.2,0.6,2.2,5.1,2.36,Right,No
2,1971,SP,Juan Marichal,33,18,11,0.621,2.94,37,37,0,18,4,0,279.0,244,113,91,27,56,6,159,3,1,6,1124,117,3.2,1.075,7.9,0.9,1.8,5.1,2.84,Right,No
3,1971,SP,Ron Bryant,23,7,10,0.412,3.79,27,22,2,3,2,0,140.0,146,69,59,9,49,3,79,3,1,2,603,91,3.27,1.393,9.4,0.6,3.2,5.1,1.61,Left,No
4,1971,SP,Steve Stone,23,5,9,0.357,4.15,24,19,1,2,2,0,110.2,110,56,51,9,55,4,63,3,1,2,485,83,3.94,1.491,8.9,0.7,4.5,5.1,1.15,Right,No
5,1971,SP,Don Carrithers,21,5,3,0.625,4.03,22,12,2,2,1,1,80.1,77,48,36,6,37,1,41,2,0,7,353,86,3.86,1.419,8.6,0.7,4.1,4.6,1.11,Right,No
6,1971,CL,Jerry Johnson,27,12,9,0.571,2.97,67,0,47,0,0,18,109.0,93,42,36,9,48,9,85,1,2,6,469,116,3.31,1.294,7.7,0.7,4.0,7.0,1.77,Right,No
7,1971,RP,John Cumberland,24,9,6,0.6,2.92,45,21,7,5,2,2,185.0,153,66,60,22,55,6,65,0,0,4,750,118,4.19,1.124,7.4,1.1,2.7,3.2,1.18,Left,No
8,1971,RP,Don McMahon,41,10,6,0.625,4.06,61,0,26,0,0,4,82.0,73,40,37,9,37,6,71,7,0,2,356,85,3.76,1.341,8.0,1.0,4.1,7.8,1.92,Right,No
9,1971,RP,Rich Robertson,26,2,2,0.5,4.57,23,6,5,1,0,1,61.0,66,40,31,5,31,3,32,2,0,2,283,76,4.09,1.59,9.7,0.7,4.6,4.7,1.03,Right,No
10,1971,RP,Steve Hamilton,36,2,2,0.5,3.02,39,0,16,0,0,4,44.2,29,15,15,4,11,6,38,1,0,1,173,115,2.72,0.896,5.8,0.8,2.2,7.7,3.45,Left,No
11,1971,,Frank Reberger,27,3,0,1.0,3.92,13,7,5,0,0,0,43.2,37,20,19,5,19,0,21,2,0,0,186,89,4.42,1.282,7.6,1.0,3.9,4.3,1.11,Right,No
12,1971,,Jim Barr,23,1,1,0.5,3.57,17,0,5,0,0,0,35.1,33,15,14,3,5,1,16,1,0,1,142,98,3.16,1.075,8.4,0.8,1.3,4.1,3.2,Right,No
13,1971,,Jim Willoughby,22,0,1,0.0,9.0,2,1,1,0,0,0,4.0,8,4,4,0,1,0,3,0,0,1,21,42,1.7,2.25,18.0,0.0,2.3,6.8,3.0,Right,No
1,1970,SP,Gaylord Perry,31,23,13,0.639,3.2,41,41,0,23,5,0,328.2,292,138,117,27,84,8,214,8,0,11,1336,125,3.24,1.144,8.0,0.7,2.3,5.9,2.55,Right,No
2,1970,SP,Juan Marichal,32,12,10,0.545,4.12,34,33,0,14,1,0,242.2,269,128,111,28,48,3,123,1,0,4,1035,98,3.73,1.306,10.0,1.0,1.8,4.6,2.56,Right,No
3,1970,SP,Rich Robertson,25,8,9,0.471,4.85,41,26,4,6,0,1,183.2,199,113,99,22,96,3,121,1,2,18,830,83,4.46,1.606,9.8,1.1,4.7,5.9,1.26,Right,No
4,1970,SP,Skip Pitlock,22,5,5,0.5,4.66,18,15,1,1,0,0,87.0,92,48,45,13,48,2,56,4,1,3,394,87,5.09,1.609,9.5,1.3,5.0,5.8,1.17,Left,No
5,1970,CL,Don McMahon,40,9,5,0.643,2.96,61,0,44,0,0,19,94.1,70,32,31,9,45,13,74,2,0,7,399,136,3.8,1.219,6.7,0.9,4.3,7.1,1.64,Right,No
6,1970,RP,Frank Reberger,26,7,8,0.467,5.57,45,18,7,3,0,2,152.0,178,108,94,13,98,6,117,7,2,15,727,72,4.28,1.816,10.5,0.8,5.8,6.9,1.19,Right,No
7,1970,RP,Ron Bryant,22,5,8,0.385,4.78,34,11,7,1,0,0,96.0,103,58,51,7,38,0,66,2,0,4,425,84,3.46,1.469,9.7,0.7,3.6,6.2,1.74,Left,No
8,1970,RP,Jerry Johnson,26,3,4,0.429,4.27,33,1,11,0,0,3,65.1,67,39,31,5,38,2,44,1,0,4,296,95,4.08,1.607,9.2,0.7,5.2,6.1,1.16,Right,No
9,1970,RP,Mike Davison,24,3,5,0.375,6.5,31,0,16,0,0,1,36.0,46,29,26,4,22,4,21,0,0,1,171,62,4.75,1.889,11.5,1.0,5.5,5.3,0.95,Left,No
10,1970,,Mike McCormick,31,3,4,0.429,6.2,23,11,7,1,0,2,78.1,80,58,54,15,36,7,37,3,0,4,351,65,5.68,1.481,9.2,1.7,4.1,4.3,1.03,Left,No
11,1970,,Frank Linzy,29,2,1,0.667,7.01,20,0,9,0,0,1,25.2,33,20,20,2,11,4,16,1,0,0,117,58,3.81,1.714,11.6,0.7,3.9,5.6,1.45,Right,No
12,1970,,Don Carrithers,20,2,1,0.667,7.36,11,2,1,0,0,0,22.0,31,19,18,5,14,1,14,0,0,2,108,55,6.23,2.045,12.7,2.0,5.7,5.7,1.0,Right,No
13,1970,,Migel Puente,22,1,3,0.25,8.2,6,4,1,1,0,0,18.2,25,18,17,5,11,1,14,0,0,0,93,50,6.39,1.929,12.1,2.4,5.3,6.8,1.27,Right,No
14,1970,,John Cumberland,23,2,0,1.0,0.82,7,0,2,0,0,0,11.0,6,3,1,0,4,0,6,0,1,1,44,508,2.64,0.909,4.9,0.0,3.3,4.9,1.5,Left,No
15,1970,,Bill Faul,30,0,0,0.0,7.45,7,0,2,0,0,1,9.2,15,9,8,1,6,2,6,0,0,0,49,56,4.6,2.172,14.0,0.9,5.6,5.6,1.0,Right,No
16,1970,,Jim Johnson,24,1,0,1.0,8.1,3,0,0,0,0,0,6.2,8,6,6,0,5,1,2,0,1,2,33,52,4.29,1.95,10.8,0.0,6.8,2.7,0.4,Left,No
1,1969,SP,Gaylord Perry,30,19,14,0.576,2.49,40,39,1,26,3,0,325.1,290,115,90,23,91,14,233,11,0,12,1345,142,2.94,1.171,8.0,0.6,2.5,6.4,2.56,Right,No
2,1969,SP,Juan Marichal,31,21,11,0.656,2.1,37,36,1,27,8,0,299.2,244,90,70,15,54,7,205,6,2,5,1176,168,2.39,0.994,7.3,0.5,1.6,6.2,3.8,Right,No
3,1969,SP,Mike McCormick,30,11,9,0.55,3.34,32,28,2,9,0,0,196.2,175,81,73,20,77,8,76,1,2,6,824,106,4.25,1.281,8.0,0.9,3.5,3.5,0.99,Left,No
4,1969,SP,Bobby Bolin,30,7,7,0.5,4.43,30,22,3,2,0,0,146.1,149,86,72,17,49,3,102,7,0,5,639,80,3.77,1.353,9.2,1.0,3.0,6.3,2.08,Right,No
5,1969,SP,Ray Sadecki,28,5,8,0.385,4.23,29,17,2,4,3,0,138.1,137,73,65,18,53,4,104,2,0,5,597,84,3.89,1.373,8.9,1.2,3.4,6.8,1.96,Left,No
6,1969,CL,Frank Linzy,28,14,9,0.609,3.64,58,0,39,0,0,11,116.1,129,57,47,5,38,15,62,3,0,8,515,97,3.06,1.436,10.0,0.4,2.9,4.8,1.63,Right,No
7,1969,RP,Ron Herbel,31,4,1,0.8,4.02,39,4,13,2,0,1,87.1,92,43,39,7,23,5,34,1,1,3,369,88,3.6,1.317,9.5,0.7,2.4,3.5,1.48,Right,No
8,1969,RP,Ron Bryant,21,4,3,0.571,4.37,16,8,4,0,0,1,57.2,60,29,28,8,25,1,30,2,0,3,252,81,4.68,1.474,9.4,1.2,3.9,4.7,1.2,Left,No
9,1969,RP,Rich Robertson,24,1,3,0.25,5.48,17,7,6,1,1,0,44.1,53,32,27,4,21,1,20,1,0,4,207,65,4.27,1.669,10.8,0.8,4.3,4.1,0.95,Right,No
10,1969,RP,Joe Gibbon,34,1,3,0.25,3.6,16,0,8,0,0,2,20.0,15,10,8,1,13,4,9,1,0,0,89,100,4.36,1.4,6.8,0.5,5.9,4.1,0.69,Left,No
11,1969,,Don McMahon,39,3,1,0.75,3.04,13,0,8,0,0,2,23.2,13,9,8,1,9,0,21,0,0,3,92,118,2.42,0.93,4.9,0.4,3.4,8.0,2.33,Right,No
12,1969,,Ron Kline,37,0,2,0.0,4.09,7,0,3,0,0,0,11.0,16,6,5,1,6,3,7,0,0,0,52,90,4.05,2.0,13.1,0.8,4.9,5.7,1.17,Right,No
13,1969,,Bob Garibaldi,27,0,1,0.0,1.8,1,1,0,0,0,0,5.0,6,4,1,0,2,0,1,0,0,0,22,213,3.31,1.6,10.8,0.0,3.6,1.8,0.5,Right,No
14,1969,,Mike Davison,23,0,0,0.0,4.5,1,0,1,0,0,0,2.0,2,1,1,0,0,0,2,0,0,0,8,95,0.51,1.0,9.0,0.0,0.0,9.0,0.0,Left,No
1,1968,SP,Juan Marichal,30,26,9,0.743,2.43,38,38,0,30,5,0,325.2,295,106,88,21,46,9,218,6,2,8,1307,123,2.36,1.047,8.2,0.6,1.3,6.0,4.74,Right,No
2,1968,SP,Gaylord Perry,29,16,15,0.516,2.45,39,38,1,19,3,1,290.2,240,93,79,10,59,12,173,4,0,6,1159,122,2.29,1.029,7.4,0.3,1.8,5.4,2.93,Right,No
3,1968,SP,Ray Sadecki,27,12,18,0.4,2.91,38,36,0,13,6,0,253.2,225,94,82,14,70,17,206,3,0,9,1040,103,2.34,1.163,8.0,0.5,2.5,7.3,2.94,Left,No
4,1968,SP,Mike McCormick,29,12,14,0.462,3.58,38,28,5,9,2,1,198.1,196,92,79,17,49,13,121,2,0,9,838,83,3.05,1.235,8.9,0.8,2.2,5.5,2.47,Left,No
5,1968,SP,Bobby Bolin,29,10,5,0.667,1.99,34,19,2,6,3,0,176.2,128,44,39,9,46,9,126,4,0,9,696,151,2.47,0.985,6.5,0.5,2.3,6.4,2.74,Right,No
6,1968,CL,Frank Linzy,27,9,8,0.529,2.08,57,0,45,0,0,12,95.1,76,30,22,1,27,14,36,1,0,5,387,145,2.65,1.08,7.2,0.1,2.5,3.4,1.33,Right,No
7,1968,RP,Ron Herbel,30,0,0,0.0,3.35,28,2,8,0,0,0,43.0,55,26,16,5,15,8,18,1,0,3,196,90,4.18,1.628,11.5,1.0,3.1,3.8,1.2,Right,No
8,1968,RP,Joe Gibbon,33,1,2,0.333,1.58,29,0,10,0,0,1,40.0,33,10,7,3,19,4,22,2,0,4,168,192,3.84,1.3,7.4,0.7,4.3,5.0,1.16,Left,No
9,1968,RP,Lindy McDaniel,32,0,0,0.0,7.45,12,0,8,0,0,0,19.1,30,16,16,2,5,0,9,0,0,2,90,41,3.57,1.81,14.0,0.9,2.3,4.2,1.8,Right,No
10,1968,RP,Bill Monbouquette,31,0,1,0.0,3.75,7,0,4,0,0,1,12.0,11,9,5,4,2,0,5,0,0,0,50,83,6.39,1.083,8.3,3.0,1.5,3.8,2.5,Right,No
11,1968,,Rich Robertson,23,2,0,1.0,6.0,3,1,1,0,0,0,9.0,9,6,6,0,3,0,8,0,0,1,38,53,1.61,1.333,9.0,0.0,3.0,8.0,2.67,Right,No
12,1968,,Bill Henry,40,0,2,0.0,5.4,7,1,2,0,0,0,5.0,4,3,3,0,3,1,0,1,0,0,21,61,4.79,1.4,7.2,0.0,5.4,0.0,0.0,Left,No
1,1967,SP,Gaylord Perry,28,15,17,0.469,2.61,39,37,2,18,3,1,293.0,231,98,85,20,84,17,230,4,1,13,1178,128,2.76,1.075,7.1,0.6,2.6,7.1,2.74,Right,No
2,1967,SP,Mike McCormick,28,22,10,0.688,2.85,40,35,3,14,5,0,262.1,220,88,83,25,81,18,150,5,0,9,1073,118,3.62,1.147,7.5,0.9,2.8,5.1,1.85,Left,No
3,1967,SP,Juan Marichal,29,14,10,0.583,2.76,26,26,0,18,2,0,202.1,195,79,62,20,42,9,166,1,0,0,839,121,2.82,1.171,8.7,0.9,1.9,7.4,3.95,Right,No
4,1967,SP,Ray Sadecki,26,12,6,0.667,2.78,35,24,4,10,2,0,188.0,165,65,58,8,58,4,145,4,1,9,775,121,2.54,1.186,7.9,0.4,2.8,6.9,2.5,Left,No
5,1967,CL,Frank Linzy,26,7,7,0.5,1.51,57,0,44,0,0,17,95.2,67,21,16,4,34,7,38,0,1,3,376,223,3.35,1.056,6.3,0.4,3.2,3.6,1.12,Right,No
6,1967,RP,Ron Herbel,29,4,5,0.444,3.08,42,11,10,1,1,1,125.2,125,54,43,10,35,10,52,2,0,3,516,109,3.63,1.273,9.0,0.7,2.5,3.7,1.49,Right,No
7,1967,RP,Bobby Bolin,28,6,8,0.429,4.88,37,15,10,0,0,0,120.0,120,71,65,16,50,9,69,3,1,5,526,69,4.45,1.417,9.0,1.2,3.8,5.2,1.38,Right,No
8,1967,RP,Joe Gibbon,32,6,2,0.75,3.07,28,10,3,3,1,1,82.0,65,31,28,4,33,4,63,3,0,3,339,109,2.95,1.195,7.1,0.4,3.6,6.9,1.91,Left,No
9,1967,RP,Lindy McDaniel,31,2,6,0.25,3.72,41,3,9,0,0,2,72.2,69,34,30,5,24,10,48,2,1,1,309,91,3.19,1.28,8.5,0.6,3.0,5.9,2.0,Right,No
10,1967,,Bill Henry,39,2,0,1.0,2.08,28,1,12,0,0,2,21.2,16,5,5,1,9,4,23,2,0,1,94,164,2.54,1.154,6.6,0.4,3.7,9.6,2.56,Left,No
11,1967,,Néstor Chávez,19,1,0,1.0,0.0,2,0,0,0,0,0,5.0,4,2,0,0,3,1,3,0,0,0,22,0,3.14,1.4,7.2,0.0,5.4,5.4,1.0,Right,No
12,1967,,Ron Bryant,19,0,0,0.0,4.5,1,0,0,0,0,0,4.0,3,2,2,0,0,0,2,1,0,0,16,83,2.29,0.75,6.8,0.0,0.0,4.5,0.0,Left,No
13,1967,,Rich Robertson,22,0,0,0.0,4.5,1,0,1,0,0,0,2.0,3,1,1,0,0,0,1,0,0,1,9,91,1.54,1.5,13.5,0.0,0.0,4.5,0.0,Right,No
1,1966,SP,Juan Marichal,28,25,6,0.806,2.23,37,36,1,25,4,0,307.1,228,88,76,32,36,3,222,5,0,3,1180,167,2.86,0.859,6.7,0.9,1.1,6.5,6.17,Right,No
2,1966,SP,Gaylord Perry,27,21,8,0.724,2.99,36,35,0,13,3,0,255.2,242,92,85,15,40,3,201,5,0,7,1035,124,2.27,1.103,8.5,0.5,1.4,7.1,5.03,Right,No
3,1966,SP,Bobby Bolin,27,11,10,0.524,2.89,36,34,1,10,4,1,224.1,174,85,72,25,70,10,143,10,0,6,919,129,3.8,1.088,7.0,1.0,2.8,5.7,2.04,Right,No
4,1966,SP,Ron Herbel,28,4,5,0.444,4.16,32,18,3,0,0,1,129.2,149,70,60,15,39,9,55,2,1,8,562,89,4.16,1.45,10.3,1.0,2.7,3.8,1.41,Right,No
5,1966,SP,Ray Sadecki,25,3,7,0.3,5.4,26,19,7,3,1,0,105.0,125,82,63,20,39,2,62,4,0,5,476,69,5.08,1.562,10.7,1.7,3.3,5.3,1.59,Left,No
6,1966,CL,Frank Linzy,25,7,11,0.389,2.96,51,0,34,0,0,16,100.1,107,40,33,4,34,9,57,2,0,0,438,126,3.01,1.405,9.6,0.4,3.0,5.1,1.68,Right,No
7,1966,RP,Lindy McDaniel,30,10,5,0.667,2.66,64,0,32,0,0,6,121.2,103,48,36,5,35,9,93,0,0,2,495,140,2.42,1.134,7.6,0.4,2.6,6.9,2.66,Right,No
8,1966,RP,Bob Priddy,26,6,3,0.667,3.96,38,3,10,0,0,1,91.0,88,45,40,8,28,3,51,3,1,4,379,94,3.6,1.275,8.7,0.8,2.8,5.0,1.82,Right,No
9,1966,RP,Joe Gibbon,31,4,6,0.4,3.67,37,10,6,1,0,1,81.0,86,41,33,4,16,1,48,2,0,5,342,102,2.68,1.259,9.6,0.4,1.8,5.3,3.0,Left,No
10,1966,RP,Bill Henry,38,1,1,0.5,2.45,35,0,9,0,0,1,22.0,15,6,6,3,10,3,15,1,1,1,93,154,4.46,1.136,6.1,1.2,4.1,6.1,1.5,Left,No
11,1966,,Bob Shaw,33,1,4,0.2,6.25,13,6,5,0,0,0,31.2,45,23,22,9,7,1,21,0,0,3,148,60,5.59,1.642,12.8,2.6,2.0,6.0,3.0,Right,No
12,1966,,Billy Hoeft,34,0,2,0.0,7.36,4,0,1,0,0,0,3.2,4,3,3,0,3,1,3,0,0,0,19,56,3.37,1.909,9.8,0.0,7.4,7.4,1.0,Left,No
13,1966,,Rich Robertson,21,0,0,0.0,7.71,1,0,0,0,0,0,2.1,3,3,2,0,2,0,2,0,0,0,12,57,3.41,2.143,11.6,0.0,7.7,7.7,1.0,Right,No
14,1966,,Bob Garibaldi,24,0,0,0.0,0.0,1,0,0,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,4,0,2.55,1.0,9.0,0.0,0.0,0.0,0.0,Right,No
1,1965,SP,Juan Marichal,27,22,13,0.629,2.13,39,37,2,24,10,1,295.1,224,78,70,27,46,4,240,4,0,2,1153,169,2.59,0.914,6.8,0.8,1.4,7.3,5.22,Right,No
2,1965,SP,Bob Shaw,32,16,9,0.64,2.64,42,33,5,6,1,2,235.0,213,85,69,17,53,5,148,3,1,9,969,137,2.91,1.132,8.2,0.7,2.0,5.7,2.79,Right,No
3,1965,SP,Gaylord Perry,26,8,12,0.4,4.19,47,26,8,6,0,1,195.2,194,105,91,21,70,16,170,6,0,12,848,86,3.34,1.349,8.9,1.0,3.2,7.8,2.43,Right,No
4,1965,SP,Jack Sanford,36,4,5,0.444,3.96,23,16,4,0,0,2,91.0,92,50,40,11,30,7,43,7,1,4,402,92,4.36,1.341,9.1,1.1,3.0,4.3,1.43,Right,No
5,1965,SP,Warren Spahn,44,3,4,0.429,3.39,16,11,2,3,0,0,71.2,70,34,27,8,21,1,34,1,0,1,303,107,3.94,1.27,8.8,1.0,2.6,4.3,1.62,Left,No
6,1965,CL,Frank Linzy,24,9,3,0.75,1.43,57,0,40,0,0,20,81.2,76,19,13,2,23,8,35,3,0,5,334,253,2.93,1.212,8.4,0.2,2.5,3.9,1.52,Right,No
7,1965,RP,Ron Herbel,27,12,9,0.571,3.85,47,21,10,1,0,1,170.2,172,80,73,16,47,7,106,3,0,5,718,94,3.37,1.283,9.1,0.8,2.5,5.6,2.26,Right,No
8,1965,RP,Bobby Bolin,26,14,6,0.7,2.76,45,13,15,2,0,2,163.0,125,51,50,17,56,4,135,4,0,3,655,131,3.32,1.11,6.9,0.9,3.1,7.5,2.41,Right,No
9,1965,RP,Masanori Murakami,21,4,1,0.8,3.75,45,1,16,0,0,8,74.1,57,31,31,9,22,5,85,3,0,3,304,97,2.81,1.063,6.9,1.1,2.7,10.3,3.86,Left,No
10,1965,RP,Bill Henry,37,2,2,0.5,3.64,35,0,11,0,0,4,42.0,40,18,17,2,8,3,35,1,0,1,173,100,2.11,1.143,8.6,0.4,1.7,7.5,4.38,Left,No
11,1965,,Bob Hendley,26,0,0,0.0,12.6,8,2,1,0,0,0,15.0,27,22,21,6,13,2,8,1,0,2,87,29,9.45,2.667,16.2,3.6,7.8,4.8,0.62,Left,No
12,1965,,Dick Estelle,23,0,0,0.0,3.97,6,1,1,0,0,0,11.1,12,6,5,0,8,1,6,1,1,1,56,94,3.84,1.765,9.5,0.0,6.4,4.8,0.75,Left,No
13,1965,,Bob Priddy,25,1,0,1.0,1.74,8,0,4,0,0,0,10.1,6,2,2,1,2,0,7,0,0,1,38,216,3.0,0.774,5.2,0.9,1.7,6.1,3.5,Right,No
